BALANCES m:95
BALANCES m:95 w:25
BALANCES e:54 m:95 w:25
BALANCES e:54 m:95 o:45 w:25
BALANCES e:54 h:26 m:95 o:45 w:25
BALANCES e:54 h:26 m:95 o:112 w:25
BALANCES e:54 g:46 h:26 m:95 o:112 w:25
BALANCES e:10 g:46 h:26 m:95 o:156 w:25
BALANCES e:10 g:46 h:26 m:95 o:156 v:2 w:25
BALANCES e:10 g:46 h:26 m:95 o:156 v:2 w:14 y:11
BALANCES e:44 g:46 h:26 m:95 o:156 v:2 w:14 y:11
BALANCES e:44 g:46 h:3 m:95 o:179 v:2 w:14 y:11
BALANCES e:44 g:46 h:3 m:95 o:179 s:2 v:0 w:14 y:11
BALANCES b:89 e:44 g:46 h:3 m:95 o:179 s:2 v:0 w:14 y:11
BALANCES b:89 e:44 g:46 h:3 m:95 o:179 p:40 s:2 v:0 w:14 y:11
BALANCES b:89 e:44 g:46 h:3 m:27 o:179 p:40 s:70 v:0 w:14 y:11
BALANCES b:28 e:44 g:46 h:3 m:27 o:179 p:40 s:70 t:61 v:0 w:14 y:11
BALANCES b:28 e:44 g:46 h:18 m:27 o:179 p:25 s:70 t:61 v:0 w:14 y:11
BALANCES b:28 e:44 g:46 h:9 m:27 o:179 p:25 s:70 t:61 v:0 w:14 y:20
BALANCES b:28 e:44 g:46 h:9 m:27 n:42 o:179 p:25 s:70 t:61 v:0 w:14 y:20
BALANCES b:3 e:44 g:46 h:9 j:25 m:27 n:42 o:179 p:25 s:70 t:61 v:0 w:14 y:20
BALANCES b:3 e:44 f:8 g:46 h:9 j:25 m:27 n:42 o:171 p:25 s:70 t:61 v:0 w:14 y:20
BALANCES a:3 b:3 e:44 f:8 g:46 h:6 j:25 m:27 n:42 o:171 p:25 s:70 t:61 v:0 w:14 y:20
BALANCES a:3 b:3 e:20 f:8 g:46 h:6 j:25 m:27 n:42 o:195 p:25 s:70 t:61 v:0 w:14 y:20
BALANCES a:3 b:8 e:20 f:8 g:46 h:6 j:20 m:27 n:42 o:195 p:25 s:70 t:61 v:0 w:14 y:20
BALANCES a:3 b:8 e:20 f:8 g:46 h:6 j:20 m:26 n:42 o:195 p:26 s:70 t:61 v:0 w:14 y:20
BALANCES a:3 b:8 e:20 f:8 g:46 h:6 j:20 m:26 n:42 o:195 p:26 s:70 t:61 v:0 w:14 y:20 z:70
BALANCES a:5 b:8 e:20 f:8 g:46 h:6 j:20 m:26 n:40 o:195 p:26 s:70 t:61 v:0 w:14 y:20 z:70
BALANCES a:5 b:8 e:20 f:8 g:46 h:6 j:20 l:34 m:26 n:40 o:161 p:26 s:70 t:61 v:0 w:14 y:20 z:70
BALANCES a:3 b:8 e:20 f:8 g:46 h:6 j:20 l:34 m:26 n:40 o:163 p:26 s:70 t:61 v:0 w:14 y:20 z:70
BALANCES a:3 b:8 e:20 f:8 g:10 h:6 j:20 l:34 m:26 n:40 o:163 p:26 q:36 s:70 t:61 v:0 w:14 y:20 z:70
BALANCES a:3 b:8 e:72 f:8 g:10 h:6 j:20 l:34 m:26 n:40 o:163 p:26 q:36 s:70 t:61 v:0 w:14 y:20 z:70
BALANCES a:8 b:8 e:72 f:3 g:10 h:6 j:20 l:34 m:26 n:40 o:163 p:26 q:36 s:70 t:61 v:0 w:14 y:20 z:70
BALANCES a:16 b:8 e:72 f:3 g:10 h:6 j:20 l:34 m:26 n:40 o:163 p:26 q:36 s:70 t:61 v:0 w:14 y:12 z:70
BALANCES a:16 b:75 e:72 f:3 g:10 h:6 j:20 l:34 m:26 n:40 o:163 p:26 q:36 s:70 t:61 v:0 w:14 y:12 z:70
BALANCES a:16 b:75 e:72 f:0 g:10 h:6 j:20 l:34 m:26 n:40 o:163 p:26 q:36 s:70 t:61 u:3 v:0 w:14 y:12 z:70
BALANCES a:16 b:75 e:72 f:0 g:10 h:6 j:20 l:34 m:26 n:40 o:163 p:26 q:35 s:70 t:61 u:4 v:0 w:14 y:12 z:70
BALANCES a:16 b:75 e:72 f:0 g:10 h:6 j:20 l:34 m:26 n:40 o:163 p:26 q:35 s:70 t:61 u:4 v:0 w:14 x:8 y:12 z:70
BALANCES a:16 b:75 e:72 f:0 g:10 h:6 j:20 l:34 m:26 n:40 o:212 p:26 q:35 s:70 t:61 u:4 v:0 w:14 x:8 y:12 z:70
BALANCES a:16 b:75 e:72 f:0 g:10 h:6 j:20 l:34 m:26 n:40 o:212 p:26 q:35 s:70 t:61 u:4 v:0 w:14 x:8 y:107 z:70
BALANCES a:16 b:75 e:72 f:0 g:10 h:6 j:20 l:34 m:26 n:40 o:212 p:26 q:35 s:70 t:61 u:53 v:0 w:14 x:8 y:107 z:70
BALANCES a:16 b:75 e:72 f:0 g:10 h:6 j:20 l:34 m:26 n:63 o:212 p:26 q:35 s:70 t:61 u:53 v:0 w:14 x:8 y:107 z:70
BALANCES a:16 b:75 e:72 f:0 g:10 h:6 j:20 l:34 m:26 n:63 o:212 p:26 q:35 s:70 t:146 u:53 v:0 w:14 x:8 y:107 z:70
BALANCES a:16 b:75 e:72 f:0 g:10 h:6 j:20 l:34 m:26 n:63 o:212 p:74 q:35 s:70 t:146 u:53 v:0 w:14 x:8 y:107 z:70
BALANCES a:16 b:75 c:21 e:72 f:0 g:10 h:6 j:20 l:34 m:26 n:63 o:212 p:74 q:35 s:70 t:146 u:32 v:0 w:14 x:8 y:107 z:70
BALANCES a:16 b:75 c:21 e:72 f:0 g:10 h:6 j:20 l:34 m:26 n:63 o:295 p:74 q:35 s:70 t:146 u:32 v:0 w:14 x:8 y:107 z:70
BALANCES a:16 b:75 c:21 e:72 f:0 g:10 h:6 j:20 l:34 m:26 n:63 o:295 p:74 q:97 s:70 t:84 u:32 v:0 w:14 x:8 y:107 z:70
BALANCES a:16 b:75 c:21 e:72 f:0 g:10 h:6 j:20 l:34 m:26 n:63 o:295 p:74 q:97 s:70 t:84 u:32 v:0 w:14 x:8 y:119 z:70
BALANCES a:88 b:75 c:21 e:72 f:0 g:10 h:6 j:20 l:34 m:26 n:63 o:295 p:74 q:97 s:70 t:84 u:32 v:0 w:14 x:8 y:119 z:70
BALANCES a:88 b:75 c:21 e:72 f:0 g:10 h:6 j:20 l:34 m:26 n:63 o:295 p:74 q:97 s:70 t:84 u:32 v:38 w:14 x:8 y:119 z:70
BALANCES a:88 b:75 c:21 e:72 f:0 g:10 h:6 j:20 l:34 m:26 n:63 o:295 p:74 q:97 s:70 t:85 u:32 v:38 w:13 x:8 y:119 z:70
BALANCES a:88 b:75 c:21 e:72 f:0 g:10 h:6 j:20 k:8 l:34 m:26 n:63 o:295 p:74 q:97 s:70 t:85 u:32 v:38 w:13 x:8 y:119 z:62
BALANCES a:88 b:75 c:21 d:10 e:72 f:0 g:10 h:6 j:20 k:8 l:34 m:26 n:63 o:295 p:74 q:97 s:70 t:85 u:32 v:38 w:13 x:8 y:119 z:62
BALANCES a:88 b:75 c:21 d:10 e:72 f:0 g:10 h:6 j:20 k:8 l:34 m:26 n:63 o:295 p:74 q:97 s:70 t:85 u:32 v:38 w:13 x:29 y:119 z:62
BALANCES a:88 b:75 c:21 d:10 e:72 f:0 g:10 h:18 j:20 k:8 l:34 m:26 n:63 o:295 p:74 q:97 s:70 t:85 u:32 v:26 w:13 x:29 y:119 z:62
BALANCES a:88 b:75 c:21 d:10 e:72 f:0 g:10 h:18 j:20 k:44 l:34 m:26 n:63 o:295 p:74 q:97 s:70 t:85 u:32 v:26 w:13 x:29 y:119 z:62
BALANCES a:78 b:75 c:31 d:10 e:72 f:0 g:10 h:18 j:20 k:44 l:34 m:26 n:63 o:295 p:74 q:97 s:70 t:85 u:32 v:26 w:13 x:29 y:119 z:62
BALANCES a:78 b:75 c:31 d:10 e:72 f:0 g:10 h:18 j:20 k:44 l:34 m:26 n:65 o:295 p:74 q:97 s:70 t:85 u:30 v:26 w:13 x:29 y:119 z:62
BALANCES a:78 b:75 c:31 d:10 e:72 f:0 g:10 h:18 i:2 j:20 k:44 l:34 m:26 n:65 o:295 p:72 q:97 s:70 t:85 u:30 v:26 w:13 x:29 y:119 z:62
BALANCES a:78 b:75 c:31 d:10 e:72 f:5 g:10 h:18 i:2 j:20 k:44 l:34 m:26 n:65 o:295 p:72 q:97 s:70 t:85 u:30 v:26 w:13 x:29 y:119 z:62
BALANCES a:78 b:75 c:31 d:10 e:72 f:5 g:10 h:18 i:2 j:20 k:44 l:34 m:26 n:65 o:295 p:72 q:97 s:70 t:85 u:30 v:26 w:13 x:29 y:119 z:130
BALANCES a:78 b:75 c:31 d:10 e:72 f:5 g:10 h:18 i:2 j:20 k:44 l:34 m:26 n:65 o:295 p:72 q:97 r:20 s:70 t:85 u:30 v:26 w:13 x:9 y:119 z:130
BALANCES a:78 b:102 c:31 d:10 e:72 f:5 g:10 h:18 i:2 j:20 k:44 l:34 m:26 n:65 o:268 p:72 q:97 r:20 s:70 t:85 u:30 v:26 w:13 x:9 y:119 z:130
BALANCES a:78 b:102 c:31 d:10 e:72 f:5 g:10 h:18 i:2 j:20 k:44 l:34 m:26 n:65 o:268 p:72 q:84 r:20 s:70 t:98 u:30 v:26 w:13 x:9 y:119 z:130
BALANCES a:79 b:102 c:31 d:10 e:72 f:5 g:10 h:18 i:2 j:20 k:44 l:34 m:26 n:65 o:268 p:72 q:84 r:20 s:70 t:98 u:30 v:26 w:13 x:8 y:119 z:130
BALANCES a:79 b:102 c:31 d:10 e:72 f:5 g:10 h:18 i:2 j:20 k:44 l:34 m:26 n:65 o:318 p:72 q:84 r:20 s:70 t:98 u:30 v:26 w:13 x:8 y:119 z:130
BALANCES a:79 b:102 c:31 d:10 e:72 f:5 g:10 h:18 i:2 j:20 k:119 l:34 m:26 n:65 o:318 p:72 q:84 r:20 s:70 t:98 u:30 v:26 w:13 x:8 y:119 z:130
BALANCES a:79 b:102 c:31 d:10 e:72 f:5 g:10 h:18 i:2 j:20 k:119 l:34 m:26 n:65 o:318 p:61 q:84 r:20 s:70 t:98 u:30 v:37 w:13 x:8 y:119 z:130
BALANCES a:79 b:102 c:31 d:10 e:72 f:5 g:10 h:18 i:2 j:20 k:119 l:34 m:26 n:65 o:318 p:61 q:84 r:20 s:71 t:98 u:30 v:37 w:13 x:8 y:119 z:130
BALANCES a:79 b:102 c:31 d:10 e:72 f:5 g:10 h:18 i:34 j:20 k:119 l:34 m:26 n:65 o:318 p:61 q:84 r:20 s:71 t:98 u:30 v:37 w:13 x:8 y:119 z:130
BALANCES a:79 b:102 c:31 d:10 e:72 f:5 g:10 h:18 i:34 j:20 k:119 l:34 m:114 n:65 o:318 p:61 q:84 r:20 s:71 t:98 u:30 v:37 w:13 x:8 y:119 z:130
BALANCES a:79 b:102 c:31 d:10 e:72 f:5 g:10 h:18 i:34 j:20 k:119 l:34 m:114 n:65 o:318 p:111 q:84 r:20 s:71 t:98 u:30 v:37 w:13 x:8 y:119 z:130
BALANCES a:79 b:102 c:31 d:10 e:72 f:5 g:10 h:18 i:34 j:20 k:119 l:34 m:114 n:65 o:318 p:93 q:102 r:20 s:71 t:98 u:30 v:37 w:13 x:8 y:119 z:130
BALANCES a:79 b:102 c:31 d:10 e:72 f:5 g:10 h:18 i:51 j:20 k:119 l:34 m:114 n:65 o:318 p:93 q:102 r:20 s:71 t:98 u:30 v:37 w:13 x:8 y:119 z:130
BALANCES a:79 b:102 c:31 d:10 e:72 f:5 g:10 h:18 i:51 j:20 k:119 l:34 m:114 n:65 o:318 p:94 q:102 r:20 s:71 t:98 u:30 v:37 w:13 x:7 y:119 z:130
BALANCES a:79 b:102 c:31 d:10 e:72 f:5 g:10 h:18 i:51 j:20 k:119 l:34 m:114 n:65 o:318 p:94 q:102 r:20 s:71 t:98 u:30 v:37 w:29 x:7 y:119 z:130
BALANCES a:79 b:102 c:70 d:10 e:72 f:5 g:10 h:18 i:51 j:20 k:119 l:34 m:114 n:65 o:318 p:94 q:102 r:20 s:71 t:98 u:30 v:37 w:29 x:7 y:119 z:130
BALANCES a:151 b:102 c:70 d:10 e:72 f:5 g:10 h:18 i:51 j:20 k:119 l:34 m:114 n:65 o:318 p:94 q:102 r:20 s:71 t:98 u:30 v:37 w:29 x:7 y:119 z:130
BALANCES a:151 b:102 c:87 d:10 e:72 f:5 g:10 h:18 i:51 j:20 k:119 l:34 m:114 n:65 o:318 p:94 q:85 r:20 s:71 t:98 u:30 v:37 w:29 x:7 y:119 z:130
BALANCES a:151 b:102 c:87 d:10 e:72 f:5 g:17 h:18 i:51 j:20 k:119 l:34 m:107 n:65 o:318 p:94 q:85 r:20 s:71 t:98 u:30 v:37 w:29 x:7 y:119 z:130
BALANCES a:151 b:102 c:87 d:10 e:72 f:5 g:17 h:18 i:51 j:20 k:119 l:34 m:107 n:65 o:318 p:95 q:85 r:20 s:71 t:98 u:30 v:36 w:29 x:7 y:119 z:130
BALANCES a:167 b:102 c:87 d:10 e:72 f:5 g:17 h:18 i:51 j:20 k:119 l:34 m:107 n:65 o:318 p:79 q:85 r:20 s:71 t:98 u:30 v:36 w:29 x:7 y:119 z:130
BALANCES a:167 b:102 c:87 d:10 e:167 f:5 g:17 h:18 i:51 j:20 k:119 l:34 m:107 n:65 o:318 p:79 q:85 r:20 s:71 t:98 u:30 v:36 w:29 x:7 y:119 z:130
BALANCES a:167 b:102 c:87 d:10 e:167 f:5 g:17 h:18 i:51 j:20 k:119 l:34 m:107 n:65 o:318 p:79 q:183 r:20 s:71 t:98 u:30 v:36 w:29 x:7 y:119 z:130
BALANCES a:167 b:102 c:87 d:10 e:167 f:5 g:17 h:18 i:51 j:20 k:119 l:34 m:107 n:65 o:323 p:74 q:183 r:20 s:71 t:98 u:30 v:36 w:29 x:7 y:119 z:130
BALANCES a:167 b:102 c:87 d:10 e:167 f:5 g:8 h:18 i:51 j:20 k:119 l:34 m:107 n:74 o:323 p:74 q:183 r:20 s:71 t:98 u:30 v:36 w:29 x:7 y:119 z:130
BALANCES a:167 b:102 c:87 d:10 e:167 f:5 g:8 h:18 i:51 j:20 k:119 l:34 m:107 n:74 o:323 p:74 q:183 r:20 s:71 t:98 u:30 v:20 w:29 x:7 y:119 z:146
BALANCES a:167 b:102 c:87 d:10 e:167 f:5 g:8 h:18 i:51 j:20 k:119 l:34 m:107 n:74 o:323 p:74 q:183 r:20 s:71 t:98 u:30 v:20 w:29 x:62 y:119 z:91
BALANCES a:167 b:102 c:87 d:10 e:167 f:5 g:8 h:34 i:51 j:20 k:119 l:34 m:107 n:74 o:323 p:74 q:183 r:20 s:71 t:82 u:30 v:20 w:29 x:62 y:119 z:91
BALANCES a:167 b:102 c:78 d:10 e:167 f:5 g:8 h:34 i:51 j:20 k:119 l:34 m:107 n:74 o:323 p:74 q:183 r:20 s:71 t:82 u:30 v:29 w:29 x:62 y:119 z:91
BALANCES a:116 b:102 c:78 d:10 e:167 f:5 g:8 h:34 i:51 j:20 k:119 l:34 m:107 n:74 o:323 p:74 q:183 r:20 s:71 t:82 u:30 v:29 w:29 x:62 y:119 z:142
BALANCES a:116 b:102 c:78 d:10 e:167 f:5 g:8 h:34 i:51 j:20 k:119 l:34 m:118 n:74 o:323 p:74 q:183 r:20 s:71 t:82 u:30 v:29 w:29 x:62 y:108 z:142
BALANCES a:116 b:102 c:78 d:10 e:167 f:5 g:8 h:34 i:51 j:20 k:119 l:34 m:215 n:74 o:323 p:74 q:183 r:20 s:71 t:82 u:30 v:29 w:29 x:62 y:108 z:142
BALANCES a:116 b:102 c:78 d:10 e:167 f:5 g:8 h:34 i:51 j:20 k:119 l:36 m:215 n:74 o:323 p:74 q:183 r:20 s:71 t:82 u:30 v:29 w:29 x:62 y:108 z:142
BALANCES a:116 b:102 c:78 d:10 e:167 f:5 g:8 h:34 i:51 j:20 k:119 l:36 m:215 n:73 o:323 p:74 q:184 r:20 s:71 t:82 u:30 v:29 w:29 x:62 y:108 z:142
BALANCES a:116 b:102 c:78 d:10 e:167 f:5 g:8 h:34 i:51 j:20 k:119 l:36 m:215 n:73 o:323 p:83 q:184 r:20 s:71 t:82 u:30 v:29 w:29 x:62 y:108 z:133
BALANCES a:116 b:102 c:69 d:10 e:167 f:5 g:8 h:34 i:51 j:20 k:128 l:36 m:215 n:73 o:323 p:83 q:184 r:20 s:71 t:82 u:30 v:29 w:29 x:62 y:108 z:133
BALANCES a:116 b:102 c:69 d:10 e:167 f:4 g:8 h:35 i:51 j:20 k:128 l:36 m:215 n:73 o:323 p:83 q:184 r:20 s:71 t:82 u:30 v:29 w:29 x:62 y:108 z:133
BALANCES a:116 b:102 c:69 d:10 e:167 f:4 g:8 h:35 i:51 j:20 k:128 l:36 m:215 n:68 o:323 p:83 q:184 r:20 s:71 t:82 u:30 v:29 w:29 x:62 y:113 z:133
BALANCES a:116 b:102 c:61 d:10 e:167 f:4 g:8 h:35 i:51 j:20 k:128 l:36 m:215 n:68 o:323 p:83 q:184 r:20 s:71 t:82 u:30 v:29 w:37 x:62 y:113 z:133
